File,WaveData20240823_003.csv,
Date/Time,24-08-23/16:30,
,,
Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,1,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
,,
Trace,A,
Start,1525,nm
Stop,1575,nm
Wavelength(A),Level(A),
1525,0.09083,
1525.1,0.0971,
1525.2,0.1037,
1525.3,0.1108,
1525.4,0.1183,
1525.5,0.1265,
1525.6,0.1353,
1525.7,0.1447,
1525.8,0.1546,
1525.9,0.1654,
1526,0.177,
1526.1,0.1893,
1526.2,0.2024,
1526.3,0.2174,
1526.4,0.2326,
1526.5,0.2485,
1526.6,0.266,
1526.7,0.2839,
1526.8,0.3038,
1526.9,0.3248,
1527,0.3471,
1527.1,0.3709,
1527.2,0.3964,
1527.3,0.423,
1527.4,0.4524,
1527.5,0.4826,
1527.6,0.5158,
1527.7,0.55,
1527.8,0.5873,
1527.9,0.627,
1528,0.6684,
1528.1,0.7123,
1528.2,0.7594,
1528.3,0.8097,
1528.4,0.862,
1528.5,0.919,
1528.6,0.9783,
1528.7,1.041,
1528.8,1.106,
1528.9,1.177,
1529,1.252,
1529.1,1.33,
1529.2,1.412,
1529.3,1.499,
1529.4,1.59,
1529.5,1.685,
1529.6,1.781,
1529.7,1.886,
1529.8,1.981,
1529.9,2.092,
1530,2.205,
1530.1,2.32,
1530.2,2.441,
1530.3,2.562,
1530.4,2.685,
1530.5,2.814,
1530.6,2.944,
1530.7,3.07,
1530.8,3.197,
1530.9,3.322,
1531,3.442,
1531.1,3.563,
1531.2,3.68,
1531.3,3.793,
1531.4,3.899,
1531.5,3.999,
1531.6,4.084,
1531.7,4.164,
1531.8,4.232,
1531.9,4.296,
1532,4.343,
1532.1,4.382,
1532.2,4.406,
1532.3,4.414,
1532.4,4.406,
1532.5,4.385,
1532.6,4.346,
1532.7,4.295,
1532.8,4.229,
1532.9,4.148,
1533,4.05,
1533.1,3.937,
1533.2,3.813,
1533.3,3.679,
1533.4,3.541,
1533.5,3.39,
1533.6,3.231,
1533.7,3.07,
1533.8,2.905,
1533.9,2.74,
1534,2.573,
1534.1,2.411,
1534.2,2.252,
1534.3,2.094,
1534.4,1.946,
1534.5,1.801,
1534.6,1.663,
1534.7,1.532,
1534.8,1.41,
1534.9,1.295,
1535,1.186,
1535.1,1.09,
1535.2,0.9971,
1535.3,0.9121,
1535.4,0.8352,
1535.5,0.764,
1535.6,0.6984,
1535.7,0.6388,
1535.8,0.584,
1535.9,0.5347,
1536,0.4899,
1536.1,0.4487,
1536.2,0.4118,
1536.3,0.3783,
1536.4,0.3484,
1536.5,0.3211,
1536.6,0.2965,
1536.7,0.2746,
1536.8,0.2546,
1536.9,0.2367,
1537,0.2205,
1537.1,0.2062,
1537.2,0.1931,
1537.3,0.1817,
1537.4,0.1709,
1537.5,0.1613,
1537.6,0.1527,
1537.7,0.145,
1537.8,0.1378,
1537.9,0.1315,
1538,0.1257,
1538.1,0.1204,
1538.2,0.1157,
1538.3,0.1111,
1538.4,0.1071,
1538.5,0.1034,
1538.6,0.1001,
1538.7,0.09711,
1538.8,0.09412,
1538.9,0.09164,
1539,0.08948,
1539.1,0.08749,
1539.2,0.0855,
1539.3,0.08384,
1539.4,0.082,
1539.5,0.08074,
1539.6,0.07943,
1539.7,0.07823,
