File,WaveData20240823_016.csv,
Date/Time,24-08-23/16:35,

Center Wavelength,1550,nm
Span Wavelength,100,nm
Start Wavelength,1500,nm
Stop Wavelength,1600,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.03,nm
Actual Resolution,0.036,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500,nm
Stop,1600,nm
1500.000000,9.0560E-006
1500.200000,8.5460E-006
1500.400000,1.1250E-005
1500.600000,1.2780E-005
1500.800000,1.2300E-005
1501.000000,9.8110E-006
1501.200000,1.0450E-005
1501.400000,1.4500E-005
1501.600000,1.0920E-005
1501.800000,1.0260E-005
1502.000000,1.1710E-005
1502.200000,1.0240E-005
1502.400000,1.2950E-005
1502.600000,1.1890E-005
1502.800000,9.1760E-006
1503.000000,1.1850E-005
1503.200000,1.3680E-005
1503.400000,1.2330E-005
1503.600000,1.3230E-005
1503.800000,9.5300E-006
1504.000000,1.4900E-005
1504.200000,1.0890E-005
1504.400000,1.6550E-005
1504.600000,1.0200E-005
1504.800000,1.4850E-005
1505.000000,1.5620E-005
1505.200000,1.6140E-005
1505.400000,1.6130E-005
1505.600000,1.2580E-005
1505.800000,1.6370E-005
1506.000000,1.5660E-005
1506.200000,1.7150E-005
1506.400000,1.5360E-005
1506.600000,1.3050E-005
1506.800000,1.6850E-005
1507.000000,1.7560E-005
1507.200000,1.6010E-005
1507.400000,1.8790E-005
1507.600000,1.7110E-005
1507.800000,1.9130E-005
1508.000000,1.6850E-005
1508.200000,1.9080E-005
1508.400000,2.0150E-005
1508.600000,2.3940E-005
1508.800000,2.0540E-005
1509.000000,2.1990E-005
1509.200000,2.3690E-005
1509.400000,2.0340E-005
1509.600000,2.0280E-005
1509.800000,2.6980E-005
1510.000000,2.2650E-005
1510.200000,2.1860E-005
1510.400000,2.7760E-005
1510.600000,2.4540E-005
1510.800000,2.5710E-005
1511.000000,2.5710E-005
1511.200000,2.8090E-005
1511.400000,2.8420E-005
1511.600000,2.8470E-005
1511.800000,3.0570E-005
1512.000000,3.0430E-005
1512.200000,3.5570E-005
1512.400000,3.3400E-005
1512.600000,3.6330E-005
1512.800000,3.7460E-005
1513.000000,3.2560E-005
1513.200000,3.7570E-005
1513.400000,3.9650E-005
1513.600000,4.3590E-005
1513.800000,4.3850E-005
1514.000000,5.2560E-005
1514.200000,4.6880E-005
1514.400000,5.1190E-005
1514.600000,5.5470E-005
1514.800000,4.7820E-005
1515.000000,5.4000E-005
1515.200000,5.4340E-005
1515.400000,6.2570E-005
1515.600000,5.8590E-005
1515.800000,6.3060E-005
1516.000000,6.4640E-005
1516.200000,6.8290E-005
1516.400000,7.2990E-005
1516.600000,7.5320E-005
1516.800000,7.5970E-005
1517.000000,8.2600E-005
1517.200000,8.3560E-005
1517.400000,9.0310E-005
1517.600000,9.3010E-005
1517.800000,9.8130E-005
1518.000000,1.0190E-004
1518.200000,1.1230E-004
1518.400000,1.1460E-004
1518.600000,1.2360E-004
1518.800000,1.2870E-004
1519.000000,1.3600E-004
1519.200000,1.4310E-004
1519.400000,1.5310E-004
1519.600000,1.6240E-004
1519.800000,1.7700E-004
1520.000000,1.9030E-004
1520.200000,2.0290E-004
1520.400000,2.2000E-004
1520.600000,2.3020E-004
1520.800000,2.5510E-004
1521.000000,2.8170E-004
1521.200000,3.0530E-004
1521.400000,3.4220E-004
1521.600000,3.5960E-004
1521.800000,4.1550E-004
1522.000000,4.4270E-004
1522.200000,5.0050E-004
1522.400000,5.5760E-004
1522.600000,6.1790E-004
1522.800000,6.8600E-004
1523.000000,7.6510E-004
1523.200000,8.5350E-004
1523.400000,9.6070E-004
1523.600000,1.0750E-003
1523.800000,1.2220E-003
1524.000000,1.3840E-003
1524.200000,1.5640E-003
1524.400000,1.7630E-003
1524.600000,2.0120E-003
1524.800000,2.2820E-003
1525.000000,2.5970E-003
1525.200000,2.9670E-003
1525.400000,3.4340E-003
1525.600000,3.9370E-003
1525.800000,4.4680E-003
1526.000000,5.0810E-003
1526.200000,5.8170E-003
1526.400000,6.7150E-003
1526.600000,7.7040E-003
1526.800000,8.7580E-003
1527.000000,9.9540E-003
1527.200000,1.1410E-002
1527.400000,1.3050E-002
1527.600000,1.4860E-002
1527.800000,1.6920E-002
1528.000000,1.9290E-002
1528.200000,2.2010E-002
1528.400000,2.5040E-002
1528.600000,2.8310E-002
1528.800000,3.1910E-002
1529.000000,3.6220E-002
1529.200000,4.1090E-002
1529.400000,4.6510E-002
1529.600000,5.2280E-002
1529.800000,5.8210E-002
1530.000000,6.4730E-002
1530.200000,7.2110E-002
1530.400000,7.9900E-002
1530.600000,8.7220E-002
1530.800000,9.4860E-002
1531.000000,1.0310E-001
1531.200000,1.1070E-001
1531.400000,1.1700E-001
1531.600000,1.2250E-001
1531.800000,1.2770E-001
1532.000000,1.3160E-001
1532.200000,1.3380E-001
1532.400000,1.3490E-001
1532.600000,1.3290E-001
1532.800000,1.2860E-001
1533.000000,1.2330E-001
1533.200000,1.1730E-001
1533.400000,1.0860E-001
1533.600000,9.8520E-002
1533.800000,8.8310E-002
1534.000000,7.8450E-002
1534.200000,6.8630E-002
1534.400000,5.8690E-002
1534.600000,4.9800E-002
1534.800000,4.2270E-002
1535.000000,3.5710E-002
1535.200000,2.9780E-002
1535.400000,2.4720E-002
1535.600000,2.0700E-002
1535.800000,1.7410E-002
1536.000000,1.4640E-002
1536.200000,1.2220E-002
1536.400000,1.0280E-002
1536.600000,8.8230E-003
1536.800000,7.6000E-003
1537.000000,6.5700E-003
1537.200000,5.7300E-003
1537.400000,5.0620E-003
1537.600000,4.5640E-003
1537.800000,4.1170E-003
1538.000000,3.7410E-003
1538.200000,3.4300E-003
1538.400000,3.1990E-003
1538.600000,2.9950E-003
1538.800000,2.8230E-003
1539.000000,2.6670E-003
1539.200000,2.5540E-003
1539.400000,2.4600E-003
1539.600000,2.3790E-003
1539.800000,2.3080E-003
1540.000000,2.2460E-003
1540.200000,2.2060E-003
1540.400000,2.1710E-003
1540.600000,2.1430E-003
1540.800000,2.1210E-003
1541.000000,2.1090E-003
1541.200000,2.1110E-003
1541.400000,2.0930E-003
1541.600000,2.0920E-003
1541.800000,2.0970E-003
1542.000000,2.1060E-003
1542.200000,2.1350E-003
1542.400000,2.1430E-003
1542.600000,2.1640E-003
1542.800000,2.1810E-003
1543.000000,2.2050E-003
1543.200000,2.2320E-003
1543.400000,2.2470E-003
1543.600000,2.2790E-003
1543.800000,2.3040E-003
1544.000000,2.3410E-003
1544.200000,2.3620E-003
1544.400000,2.3880E-003
1544.600000,2.4240E-003
1544.800000,2.4700E-003
1545.000000,2.5030E-003
1545.200000,2.5210E-003
1545.400000,2.5600E-003
1545.600000,2.5890E-003
1545.800000,2.6340E-003
1546.000000,2.6610E-003
1546.200000,2.6790E-003
1546.400000,2.7130E-003
1546.600000,2.7580E-003
1546.800000,2.7990E-003
1547.000000,2.8110E-003
1547.200000,2.8410E-003
1547.400000,2.8780E-003
1547.600000,2.9040E-003
1547.800000,2.9310E-003
1548.000000,2.9490E-003
1548.200000,2.9820E-003
1548.400000,3.0140E-003
1548.600000,3.0300E-003
1548.800000,3.0390E-003
1549.000000,3.0490E-003
1549.200000,3.0820E-003
1549.400000,3.0850E-003
1549.600000,3.0850E-003
1549.800000,3.0930E-003
1550.000000,3.1190E-003
1550.200000,3.1220E-003
1550.400000,3.1120E-003
1550.600000,3.0890E-003
1550.800000,3.0900E-003
1551.000000,3.0990E-003
1551.200000,3.0820E-003
1551.400000,3.0480E-003
1551.600000,3.0280E-003
1551.800000,3.0100E-003
1552.000000,3.0000E-003
1552.200000,2.9620E-003
1552.400000,2.9270E-003
1552.600000,2.8920E-003
1552.800000,2.8740E-003
1553.000000,2.8370E-003
1553.200000,2.7940E-003
1553.400000,2.7590E-003
1553.600000,2.7430E-003
1553.800000,2.6980E-003
1554.000000,2.6550E-003
1554.200000,2.6170E-003
1554.400000,2.5940E-003
1554.600000,2.5630E-003
1554.800000,2.5200E-003
1555.000000,2.4700E-003
1555.200000,2.4530E-003
1555.400000,2.4180E-003
1555.600000,2.3760E-003
1555.800000,2.3250E-003
1556.000000,2.2990E-003
1556.200000,2.2760E-003
1556.400000,2.2350E-003
1556.600000,2.1850E-003
1556.800000,2.1460E-003
1557.000000,2.1300E-003
1557.200000,2.0840E-003
1557.400000,2.0220E-003
1557.600000,1.9780E-003
1557.800000,1.9460E-003
1558.000000,1.9020E-003
1558.200000,1.8330E-003
1558.400000,1.7880E-003
1558.600000,1.7440E-003
1558.800000,1.6970E-003
1559.000000,1.6460E-003
1559.200000,1.5720E-003
1559.400000,1.5270E-003
1559.600000,1.4820E-003
1559.800000,1.4230E-003
1560.000000,1.3700E-003
1560.200000,1.3160E-003
1560.400000,1.2700E-003
1560.600000,1.2160E-003
1560.800000,1.1470E-003
1561.000000,1.1070E-003
1561.200000,1.0610E-003
1561.400000,1.0120E-003
1561.600000,9.5900E-004
1561.800000,9.2140E-004
1562.000000,8.6980E-004
1562.200000,8.3110E-004
1562.400000,7.8280E-004
1562.600000,7.4750E-004
1562.800000,7.1870E-004
1563.000000,6.7810E-004
1563.200000,6.4200E-004
1563.400000,6.0640E-004
1563.600000,5.8050E-004
1563.800000,5.4700E-004
1564.000000,5.1280E-004
1564.200000,4.8640E-004
1564.400000,4.6200E-004
1564.600000,4.3370E-004
1564.800000,4.0860E-004
