File,WaveData20240823_023.csv,
Date/Time,24-08-23/17:00,

Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.03,nm
Actual Resolution,0.036,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1525,nm
Stop,1575,nm
1525.000000,1.1150E-006
1525.100000,4.8360E-006
1525.200000,-7.3100E-007
1525.300000,4.2780E-006
1525.400000,-2.4090E-006
1525.500000,1.3780E-006
1525.600000,1.8890E-006
1525.700000,-3.0720E-008
1525.800000,-2.6490E-006
1525.900000,8.0980E-007
1526.000000,2.0260E-006
1526.100000,2.9420E-006
1526.200000,6.4510E-007
1526.300000,1.0330E-006
1526.400000,4.9380E-007
1526.500000,-1.6060E-006
1526.600000,-9.4590E-007
1526.700000,-1.2640E-006
1526.800000,4.0660E-006
1526.900000,-7.9670E-007
1527.000000,3.3090E-006
1527.100000,2.5860E-006
1527.200000,1.5820E-006
1527.300000,2.2370E-006
1527.400000,7.4610E-007
1527.500000,1.0660E-006
1527.600000,-9.0200E-007
1527.700000,2.4900E-006
1527.800000,5.2670E-008
1527.900000,1.6480E-006
1528.000000,1.1120E-006
1528.100000,4.8490E-007
1528.200000,-8.2460E-007
1528.300000,3.1930E-005
1528.400000,8.8710E-005
1528.500000,8.9510E-005
1528.600000,9.4150E-005
1528.700000,9.7790E-005
1528.800000,1.1140E-004
1528.900000,1.0890E-004
1529.000000,1.1040E-004
1529.100000,3.9860E-005
1529.200000,6.4560E-006
1529.300000,3.5520E-007
1529.400000,1.6830E-006
1529.500000,-3.7840E-006
1529.600000,-5.3040E-007
1529.700000,3.9920E-006
1529.800000,1.1280E-005
1529.900000,1.6960E-004
1530.000000,2.0500E-004
1530.100000,2.1640E-004
1530.200000,2.2440E-004
1530.300000,2.3830E-004
1530.400000,2.4220E-004
1530.500000,2.5570E-004
1530.600000,2.0080E-004
1530.700000,2.5570E-005
1530.800000,2.7700E-006
1530.900000,-2.8460E-007
1531.000000,-3.9860E-007
1531.100000,3.6120E-007
1531.200000,-1.7070E-007
1531.300000,4.9250E-007
1531.400000,1.8410E-004
1531.500000,3.6770E-004
1531.600000,3.8160E-004
1531.700000,3.8780E-004
1531.800000,4.0380E-004
1531.900000,4.2350E-004
1532.000000,4.1070E-004
1532.100000,4.1010E-004
1532.200000,1.4570E-004
1532.300000,1.3840E-005
1532.400000,2.9720E-006
1532.500000,2.7340E-006
1532.600000,-1.5900E-006
1532.700000,1.6930E-006
1532.800000,2.2330E-006
1532.900000,3.4050E-006
1533.000000,2.9750E-004
1533.100000,3.7820E-004
1533.200000,3.7450E-004
1533.300000,3.6550E-004
1533.400000,3.4870E-004
1533.500000,3.2880E-004
1533.600000,3.1270E-004
1533.700000,2.6770E-004
1533.800000,2.7430E-005
1533.900000,2.1420E-006
1534.000000,-1.5830E-006
1534.100000,2.1520E-006
1534.200000,3.4630E-006
1534.300000,-7.1930E-007
1534.400000,2.6670E-006
1534.500000,1.3320E-005
1534.600000,1.3880E-004
1534.700000,1.4460E-004
1534.800000,1.4340E-004
1534.900000,1.3020E-004
1535.000000,1.1460E-004
1535.100000,9.8130E-005
1535.200000,1.0160E-004
1535.300000,5.6680E-005
1535.400000,1.1560E-005
1535.500000,3.6670E-007
1535.600000,1.4900E-006
1535.700000,4.1330E-006
1535.800000,1.0030E-006
1535.900000,-4.1700E-008
1536.000000,1.4900E-006
1536.100000,2.8170E-005
1536.200000,1.6980E-004
1536.300000,1.5340E-004
1536.400000,1.4360E-004
1536.500000,1.4020E-004
1536.600000,1.1770E-004
1536.700000,1.1920E-004
1536.800000,1.0470E-004
1536.900000,4.2190E-005
1537.000000,4.3130E-006
1537.100000,-1.2180E-006
1537.200000,4.8540E-006
1537.300000,1.7650E-006
1537.400000,4.3600E-006
1537.500000,-5.9060E-007
1537.600000,1.8660E-007
1537.700000,7.1240E-005
1537.800000,1.3870E-004
1537.900000,1.4350E-004
1538.000000,1.2970E-004
1538.100000,1.2360E-004
1538.200000,1.2510E-004
1538.300000,1.1260E-004
1538.400000,1.0940E-004
1538.500000,2.1510E-005
1538.600000,3.5830E-006
1538.700000,-1.1930E-006
1538.800000,3.3400E-006
1538.900000,2.0600E-007
1539.000000,-2.3850E-006
1539.100000,-6.7340E-007
1539.200000,1.3790E-006
1539.300000,7.9880E-005
1539.400000,1.0600E-004
1539.500000,1.0560E-004
1539.600000,1.0500E-004
1539.700000,1.0470E-004
1539.800000,1.0540E-004
1539.900000,1.0010E-004
1540.000000,8.4450E-005
1540.100000,1.9790E-005
1540.200000,-3.1080E-007
1540.300000,-1.6410E-007
1540.400000,-1.2740E-006
1540.500000,-1.6570E-006
1540.600000,1.4440E-006
1540.700000,4.7470E-007
1540.800000,1.1850E-006
1540.900000,9.9030E-005
1541.000000,1.1690E-004
1541.100000,1.0610E-004
1541.200000,1.1440E-004
1541.300000,1.1450E-004
1541.400000,1.1010E-004
1541.500000,1.1050E-004
1541.600000,7.6100E-005
1541.700000,1.8080E-005
1541.800000,5.5630E-006
1541.900000,-3.2530E-007
1542.000000,-2.4570E-006
1542.100000,5.6070E-007
1542.200000,5.6520E-007
1542.300000,-1.6760E-006
1542.400000,4.0770E-006
1542.500000,1.0430E-004
1542.600000,1.1660E-004
1542.700000,1.1910E-004
1542.800000,1.1180E-004
1542.900000,1.1310E-004
1543.000000,1.1300E-004
1543.100000,1.1170E-004
1543.200000,6.9380E-005
1543.300000,1.3190E-005
1543.400000,1.2460E-006
