File,WaveData20240911_002.csv,
Date/Time,24-09-11/18:30,

Trace,A
Center Wavelength,1550,nm
Span Wavelength,60,nm
Start Wavelength,1520,nm
Stop Wavelength,1580,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.2,nm
Actual Resolution,0.196,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520,nm
Stop,1580,nm

Wavelength(A),Level(A)
1520.000000,1.1580E-006
1520.120000,1.2450E-006
1520.240000,1.0970E-006
1520.360000,1.5110E-006
1520.480000,1.3560E-006
1520.600000,1.1950E-006
1520.720000,2.0100E-006
1520.840000,1.3690E-006
1520.960000,1.4190E-006
1521.080000,1.6650E-006
1521.200000,2.0940E-006
1521.320000,7.9040E-007
1521.440000,2.5680E-006
1521.560000,3.0160E-007
1521.680000,2.1320E-006
1521.800000,2.2210E-006
1521.920000,2.3800E-006
1522.040000,1.3340E-006
1522.160000,-1.5030E-008
1522.280000,2.0440E-006
1522.400000,3.0630E-006
1522.520000,2.1140E-006
1522.640000,1.0800E-006
1522.760000,1.8190E-006
1522.880000,1.7280E-007
1523.000000,4.7930E-007
1523.120000,8.2510E-007
1523.240000,2.4410E-006
1523.360000,7.2360E-008
1523.480000,1.5010E-006
1523.600000,7.9880E-007
1523.720000,1.2560E-006
1523.840000,1.8670E-006
1523.960000,2.1620E-006
1524.080000,1.6210E-006
1524.200000,1.7120E-006
1524.320000,2.3350E-006
1524.440000,1.7170E-006
1524.560000,1.8430E-006
1524.680000,2.6940E-006
1524.800000,2.3900E-006
1524.920000,1.3360E-006
1525.040000,1.3610E-006
1525.160000,2.9310E-006
1525.280000,1.8500E-006
1525.400000,1.2440E-006
1525.520000,1.2480E-006
1525.640000,1.8470E-006
1525.760000,1.7110E-006
1525.880000,-1.4170E-007
1526.000000,2.4600E-006
1526.120000,1.0020E-006
1526.240000,9.0110E-007
1526.360000,2.1800E-006
1526.480000,2.4600E-006
1526.600000,2.4030E-006
1526.720000,1.0130E-007
1526.840000,1.7080E-006
1526.960000,1.5720E-006
1527.080000,1.6890E-006
1527.200000,1.8240E-006
1527.320000,4.6180E-007
1527.440000,1.5250E-006
1527.560000,2.0210E-006
1527.680000,1.6180E-006
1527.800000,3.1590E-006
1527.920000,2.6950E-006
1528.040000,1.5580E-006
1528.160000,1.3370E-004
1528.280000,2.1520E-003
1528.400000,3.6040E-003
1528.520000,3.9750E-003
1528.640000,4.2760E-003
1528.760000,4.5840E-003
1528.880000,4.9470E-003
1529.000000,4.8780E-003
1529.120000,4.5560E-003
1529.240000,4.8370E-003
1529.360000,5.2120E-003
1529.480000,5.5840E-003
1529.600000,6.0000E-003
1529.720000,6.0660E-003
1529.840000,4.9530E-003
1529.960000,4.5050E-003
1530.080000,4.7940E-003
1530.200000,5.0580E-003
1530.320000,5.3950E-003
1530.440000,5.8240E-003
1530.560000,5.7900E-003
1530.680000,5.0550E-003
1530.800000,5.2690E-003
1530.920000,5.5120E-003
1531.040000,5.7670E-003
1531.160000,6.0430E-003
1531.280000,6.1990E-003
1531.400000,6.4340E-003
1531.520000,6.6870E-003
1531.640000,6.8160E-003
1531.760000,6.9510E-003
1531.880000,7.1140E-003
1532.000000,7.1530E-003
1532.120000,7.2260E-003
1532.240000,7.3290E-003
1532.360000,7.2590E-003
1532.480000,7.2390E-003
1532.600000,7.3410E-003
1532.720000,7.1920E-003
1532.840000,7.0110E-003
1532.960000,6.8990E-003
1533.080000,6.6720E-003
1533.200000,6.3800E-003
1533.320000,6.1910E-003
1533.440000,5.8620E-003
1533.560000,5.5340E-003
1533.680000,6.2600E-003
1533.800000,7.5700E-003
1533.920000,7.3370E-003
1534.040000,6.8500E-003
1534.160000,6.2870E-003
1534.280000,5.7080E-003
1534.400000,5.6430E-003
1534.520000,7.5350E-003
1534.640000,8.4320E-003
1534.760000,7.7350E-003
1534.880000,7.0280E-003
1535.000000,6.3010E-003
1535.120000,5.6850E-003
1535.240000,6.4090E-003
1535.360000,8.2990E-003
1535.480000,8.1210E-003
1535.600000,7.3170E-003
1535.720000,6.5290E-003
1535.840000,5.8660E-003
1535.960000,5.4190E-003
1536.080000,6.1530E-003
1536.200000,6.6740E-003
1536.320000,6.1060E-003
1536.440000,5.5410E-003
1536.560000,5.0330E-003
1536.680000,4.6050E-003
1536.800000,5.0740E-003
1536.920000,6.8490E-003
1537.040000,7.1220E-003
1537.160000,6.6060E-003
1537.280000,6.0890E-003
1537.400000,3.9400E-003
1537.520000,8.9740E-004
1537.640000,1.0330E-004
1537.760000,8.8490E-005
1537.880000,8.3540E-005
1538.000000,7.7330E-005
1538.120000,7.5280E-005
1538.240000,7.4060E-005
1538.360000,7.0220E-005
1538.480000,6.5400E-005
1538.600000,5.9810E-005
1538.720000,6.4430E-005
1538.840000,6.4480E-005
1538.960000,6.0520E-005
1539.080000,5.8430E-005
1539.200000,5.8880E-005
1539.320000,5.7620E-005
1539.440000,5.2910E-005
1539.560000,5.4740E-005
