File,WaveData20240823_011.csv,
Date/Time,24-08-23/16:34,

Center Wavelength,1550,nm
Span Wavelength,100,nm
Start Wavelength,1500,nm
Stop Wavelength,1600,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.5,nm
Actual Resolution,0.473,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500,nm
Stop,1600,nm
1500.000000,1.1740E-004
1500.200000,1.1780E-004
1500.400000,1.1850E-004
1500.600000,1.2150E-004
1500.800000,1.2210E-004
1501.000000,1.2700E-004
1501.200000,1.2860E-004
1501.400000,1.2700E-004
1501.600000,1.3300E-004
1501.800000,1.3550E-004
1502.000000,1.3680E-004
1502.200000,1.4100E-004
1502.400000,1.4460E-004
1502.600000,1.4150E-004
1502.800000,1.5010E-004
1503.000000,1.4930E-004
1503.200000,1.5550E-004
1503.400000,1.5800E-004
1503.600000,1.5950E-004
1503.800000,1.6440E-004
1504.000000,1.6940E-004
1504.200000,1.7030E-004
1504.400000,1.7240E-004
1504.600000,1.7630E-004
1504.800000,1.8300E-004
1505.000000,1.8400E-004
1505.200000,1.8720E-004
1505.400000,1.9670E-004
1505.600000,1.9550E-004
1505.800000,2.0090E-004
1506.000000,2.0720E-004
1506.200000,2.1000E-004
1506.400000,2.1330E-004
1506.600000,2.2230E-004
1506.800000,2.2690E-004
1507.000000,2.3130E-004
1507.200000,2.4270E-004
1507.400000,2.4590E-004
1507.600000,2.4990E-004
1507.800000,2.5830E-004
1508.000000,2.6560E-004
1508.200000,2.7050E-004
1508.400000,2.8160E-004
1508.600000,2.8450E-004
1508.800000,2.9840E-004
1509.000000,3.0180E-004
1509.200000,3.1380E-004
1509.400000,3.2460E-004
1509.600000,3.3050E-004
1509.800000,3.4400E-004
1510.000000,3.4760E-004
1510.200000,3.6280E-004
1510.400000,3.7330E-004
1510.600000,3.8180E-004
1510.800000,4.0010E-004
1511.000000,4.1230E-004
1511.200000,4.1920E-004
1511.400000,4.3780E-004
1511.600000,4.4900E-004
1511.800000,4.6620E-004
1512.000000,4.8370E-004
1512.200000,4.9900E-004
1512.400000,5.1130E-004
1512.600000,5.3400E-004
1512.800000,5.5020E-004
1513.000000,5.7260E-004
1513.200000,5.9280E-004
1513.400000,6.1070E-004
1513.600000,6.3750E-004
1513.800000,6.5990E-004
1514.000000,6.8610E-004
1514.200000,7.1290E-004
1514.400000,7.4260E-004
1514.600000,7.7000E-004
1514.800000,7.9890E-004
1515.000000,8.3090E-004
1515.200000,8.6560E-004
1515.400000,9.0370E-004
1515.600000,9.3930E-004
1515.800000,9.8240E-004
1516.000000,1.0280E-003
1516.200000,1.0740E-003
1516.400000,1.1230E-003
1516.600000,1.1750E-003
1516.800000,1.2350E-003
1517.000000,1.2980E-003
1517.200000,1.3570E-003
1517.400000,1.4300E-003
1517.600000,1.5040E-003
1517.800000,1.5880E-003
1518.000000,1.6740E-003
1518.200000,1.7660E-003
1518.400000,1.8690E-003
1518.600000,1.9840E-003
1518.800000,2.1060E-003
1519.000000,2.2410E-003
1519.200000,2.3890E-003
1519.400000,2.5480E-003
1519.600000,2.7400E-003
1519.800000,2.9270E-003
1520.000000,3.1490E-003
1520.200000,3.3950E-003
1520.400000,3.6700E-003
1520.600000,3.9840E-003
1520.800000,4.3220E-003
1521.000000,4.6990E-003
1521.200000,5.1600E-003
1521.400000,5.6470E-003
1521.600000,6.1820E-003
1521.800000,6.8160E-003
1522.000000,7.5410E-003
1522.200000,8.3670E-003
1522.400000,9.2710E-003
1522.600000,1.0310E-002
1522.800000,1.1520E-002
1523.000000,1.2920E-002
1523.200000,1.4520E-002
1523.400000,1.6290E-002
1523.600000,1.8330E-002
1523.800000,2.0740E-002
1524.000000,2.3480E-002
1524.200000,2.6580E-002
1524.400000,3.0130E-002
1524.600000,3.4240E-002
1524.800000,3.9030E-002
1525.000000,4.4400E-002
1525.200000,5.0640E-002
1525.400000,5.7880E-002
1525.600000,6.6220E-002
1525.800000,7.5610E-002
1526.000000,8.6490E-002
1526.200000,9.8920E-002
1526.400000,1.1300E-001
1526.600000,1.2930E-001
1526.800000,1.4770E-001
1527.000000,1.6880E-001
1527.200000,1.9300E-001
1527.400000,2.2220E-001
1527.600000,2.5310E-001
1527.800000,2.8820E-001
1528.000000,3.2850E-001
1528.200000,3.7370E-001
1528.400000,4.2400E-001
1528.600000,4.8150E-001
1528.800000,5.4610E-001
1529.000000,6.1750E-001
1529.200000,6.9670E-001
1529.400000,7.8550E-001
1529.600000,8.7960E-001
1529.800000,9.8540E-001
1530.000000,1.0970E000
1530.200000,1.2180E000
1530.400000,1.3430E000
1530.600000,1.4710E000
1530.800000,1.6030E000
1531.000000,1.7330E000
1531.200000,1.8540E000
1531.400000,1.9520E000
1531.600000,2.0490E000
1531.800000,2.1340E000
1532.000000,2.1870E000
1532.200000,2.2150E000
1532.400000,2.2260E000
1532.600000,2.2020E000
1532.800000,2.1380E000
1533.000000,2.0450E000
1533.200000,1.9280E000
1533.400000,1.7880E000
1533.600000,1.6230E000
1533.800000,1.4570E000
1534.000000,1.2930E000
1534.200000,1.1250E000
1534.400000,9.6880E-001
1534.600000,8.2480E-001
1534.800000,7.0010E-001
1535.000000,5.8990E-001
1535.200000,4.9250E-001
1535.400000,4.1090E-001
1535.600000,3.4290E-001
1535.800000,2.8690E-001
1536.000000,2.4070E-001
1536.200000,2.0250E-001
1536.400000,1.7120E-001
1536.600000,1.4590E-001
1536.800000,1.2540E-001
1537.000000,1.0860E-001
1537.200000,9.5320E-002
1537.400000,8.4540E-002
1537.600000,7.6200E-002
1537.800000,6.8790E-002
1538.000000,6.2750E-002
1538.200000,5.7660E-002
1538.400000,5.3570E-002
1538.600000,5.0020E-002
1538.800000,4.7090E-002
1539.000000,4.4660E-002
1539.200000,4.2680E-002
1539.400000,4.1060E-002
1539.600000,3.9650E-002
1539.800000,3.8420E-002
1540.000000,3.7530E-002
1540.200000,3.6840E-002
1540.400000,3.6220E-002
1540.600000,3.5710E-002
1540.800000,3.5430E-002
1541.000000,3.5260E-002
1541.200000,3.5180E-002
1541.400000,3.5090E-002
1541.600000,3.5110E-002
1541.800000,3.5270E-002
1542.000000,3.5470E-002
1542.200000,3.5690E-002
1542.400000,3.5880E-002
1542.600000,3.6230E-002
1542.800000,3.6640E-002
1543.000000,3.7080E-002
1543.200000,3.7330E-002
1543.400000,3.7780E-002
1543.600000,3.8250E-002
1543.800000,3.8750E-002
1544.000000,3.9170E-002
1544.200000,3.9670E-002
1544.400000,4.0240E-002
1544.600000,4.0830E-002
1544.800000,4.1430E-002
1545.000000,4.1930E-002
1545.200000,4.2460E-002
1545.400000,4.3060E-002
1545.600000,4.3620E-002
1545.800000,4.4180E-002
1546.000000,4.4710E-002
1546.200000,4.5310E-002
1546.400000,4.5910E-002
1546.600000,4.6470E-002
1546.800000,4.6880E-002
1547.000000,4.7390E-002
1547.200000,4.7930E-002
1547.400000,4.8440E-002
1547.600000,4.8870E-002
1547.800000,4.9330E-002
1548.000000,4.9830E-002
1548.200000,5.0290E-002
1548.400000,5.0660E-002
1548.600000,5.0950E-002
1548.800000,5.1250E-002
1549.000000,5.1600E-002
1549.200000,5.1840E-002
1549.400000,5.1960E-002
1549.600000,5.2160E-002
1549.800000,5.2300E-002
1550.000000,5.2430E-002
1550.200000,5.2390E-002
1550.400000,5.2290E-002
1550.600000,5.2300E-002
1550.800000,5.2200E-002
1551.000000,5.2050E-002
1551.200000,5.1740E-002
1551.400000,5.1510E-002
1551.600000,5.1270E-002
1551.800000,5.0910E-002
1552.000000,5.0490E-002
1552.200000,4.9950E-002
1552.400000,4.9500E-002
1552.600000,4.8970E-002
1552.800000,4.8410E-002
1553.000000,4.7830E-002
1553.200000,4.7290E-002
1553.400000,4.6760E-002
1553.600000,4.6170E-002
1553.800000,4.5570E-002
1554.000000,4.4950E-002
1554.200000,4.4360E-002
1554.400000,4.3750E-002
1554.600000,4.3160E-002
1554.800000,4.2560E-002
1555.000000,4.2030E-002
1555.200000,4.1430E-002
1555.400000,4.0840E-002
1555.600000,4.0190E-002
1555.800000,3.9580E-002
1556.000000,3.8930E-002
1556.200000,3.8310E-002
1556.400000,3.7690E-002
1556.600000,3.7060E-002
1556.800000,3.6450E-002
1557.000000,3.5770E-002
1557.200000,3.5090E-002
1557.400000,3.4310E-002
1557.600000,3.3610E-002
1557.800000,3.2810E-002
1558.000000,3.2040E-002
1558.200000,3.1170E-002
1558.400000,3.0340E-002
1558.600000,2.9500E-002
1558.800000,2.8600E-002
1559.000000,2.7720E-002
1559.200000,2.6810E-002
1559.400000,2.5910E-002
1559.600000,2.4990E-002
1559.800000,2.4100E-002
1560.000000,2.3160E-002
1560.200000,2.2270E-002
1560.400000,2.1440E-002
1560.600000,2.0550E-002
1560.800000,1.9670E-002
1561.000000,1.8780E-002
1561.200000,1.7950E-002
1561.400000,1.7130E-002
1561.600000,1.6340E-002
1561.800000,1.5530E-002
1562.000000,1.4790E-002
1562.200000,1.4060E-002
1562.400000,1.3390E-002
1562.600000,1.2690E-002
1562.800000,1.2060E-002
1563.000000,1.1430E-002
1563.200000,1.0840E-002
1563.400000,1.0290E-002
1563.600000,9.7390E-003
1563.800000,9.2110E-003
1564.000000,8.7250E-003
1564.200000,8.2280E-003
1564.400000,7.8050E-003
1564.600000,7.3490E-003
1564.800000,6.9100E-003
1565.000000,6.5470E-003
1565.200000,6.2180E-003
