File,WaveData20240829_004.csv,
Date/Time,24-08-29/16:43,

Trace,A
Center Wavelength,1550,nm
Span Wavelength,45,nm
Start Wavelength,1527.5,nm
Stop Wavelength,1572.5,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1527.5,nm
Stop,1572.5,nm

Wavelength(A),Level(A)
1527.500000,6.5350E-002
1527.590000,6.9070E-002
1527.680000,7.3070E-002
1527.770000,7.7280E-002
1527.860000,8.1660E-002
1527.950000,8.6230E-002
1528.040000,9.1090E-002
1528.130000,9.6290E-002
1528.220000,1.0150E-001
1528.310000,1.0740E-001
1528.400000,1.1320E-001
1528.490000,1.1960E-001
1528.580000,1.2610E-001
1528.670000,1.3310E-001
1528.760000,1.4040E-001
1528.850000,1.4800E-001
1528.940000,1.5600E-001
1529.030000,1.6420E-001
1529.120000,1.7300E-001
1529.210000,1.8190E-001
1529.300000,1.9150E-001
1529.390000,2.0110E-001
1529.480000,2.1190E-001
1529.570000,2.2250E-001
1529.660000,2.3300E-001
1529.750000,2.4410E-001
1529.840000,2.5570E-001
1529.930000,2.6750E-001
1530.020000,2.7920E-001
1530.110000,2.9150E-001
1530.200000,3.0390E-001
1530.290000,3.1660E-001
1530.380000,3.2930E-001
1530.470000,3.4170E-001
1530.560000,3.5460E-001
1530.650000,3.6720E-001
1530.740000,3.7970E-001
1530.830000,3.9200E-001
1530.920000,4.0400E-001
1531.010000,4.1600E-001
1531.100000,4.2710E-001
1531.190000,4.3840E-001
1531.280000,4.4830E-001
1531.370000,4.5830E-001
1531.460000,4.6740E-001
1531.550000,4.7510E-001
1531.640000,4.8270E-001
1531.730000,4.8840E-001
1531.820000,4.9350E-001
1531.910000,4.9750E-001
1532.000000,5.0000E-001
1532.090000,5.0150E-001
1532.180000,5.0150E-001
1532.270000,5.0020E-001
1532.360000,4.9760E-001
1532.450000,4.9360E-001
1532.540000,4.8810E-001
1532.630000,4.8180E-001
1532.720000,4.7350E-001
1532.810000,4.6430E-001
1532.900000,4.5350E-001
1532.990000,4.4140E-001
1533.080000,4.2910E-001
1533.170000,4.1540E-001
1533.260000,4.0100E-001
1533.350000,3.8580E-001
1533.440000,3.7010E-001
1533.530000,3.5400E-001
1533.620000,3.3750E-001
1533.710000,3.2070E-001
1533.800000,3.0390E-001
1533.890000,2.8800E-001
1533.980000,2.7120E-001
1534.070000,2.5480E-001
1534.160000,2.3950E-001
1534.250000,2.2390E-001
1534.340000,2.0920E-001
1534.430000,1.9530E-001
1534.520000,1.8140E-001
1534.610000,1.6840E-001
1534.700000,1.5630E-001
1534.790000,1.4470E-001
1534.880000,1.3390E-001
1534.970000,1.2390E-001
1535.060000,1.1440E-001
1535.150000,1.0560E-001
1535.240000,9.7640E-002
1535.330000,9.0300E-002
1535.420000,8.3190E-002
1535.510000,7.6950E-002
1535.600000,7.1100E-002
1535.690000,6.5660E-002
1535.780000,6.0620E-002
1535.870000,5.6100E-002
1535.960000,5.1880E-002
1536.050000,4.8040E-002
1536.140000,4.4470E-002
1536.230000,4.1220E-002
1536.320000,3.8310E-002
1536.410000,3.5640E-002
1536.500000,3.3200E-002
1536.590000,3.0960E-002
1536.680000,2.8910E-002
1536.770000,2.7070E-002
1536.860000,2.5390E-002
1536.950000,2.3850E-002
1537.040000,2.2430E-002
1537.130000,2.1180E-002
1537.220000,2.0030E-002
1537.310000,1.8970E-002
1537.400000,1.7990E-002
1537.490000,1.7130E-002
1537.580000,1.6310E-002
1537.670000,1.5570E-002
1537.760000,1.4920E-002
1537.850000,1.4300E-002
1537.940000,1.3700E-002
1538.030000,1.3190E-002
1538.120000,1.2720E-002
1538.210000,1.2260E-002
1538.300000,1.1870E-002
1538.390000,1.1490E-002
1538.480000,1.1130E-002
1538.570000,1.0790E-002
1538.660000,1.0520E-002
1538.750000,1.0230E-002
1538.840000,9.9900E-003
1538.930000,9.7500E-003
1539.020000,9.5420E-003
1539.110000,9.3350E-003
1539.200000,9.1360E-003
1539.290000,8.9870E-003
1539.380000,8.7960E-003
1539.470000,8.6880E-003
1539.560000,8.5300E-003
1539.650000,8.4300E-003
1539.740000,8.2970E-003
1539.830000,8.1930E-003
1539.920000,8.0950E-003
1540.010000,7.9980E-003
1540.100000,7.9210E-003
1540.190000,7.8540E-003
1540.280000,7.7860E-003
1540.370000,7.7190E-003
1540.460000,7.6700E-003
1540.550000,7.6180E-003
1540.640000,7.5800E-003
1540.730000,7.5320E-003
1540.820000,7.5010E-003
1540.910000,7.4730E-003
1541.000000,7.4500E-003
1541.090000,7.4150E-003
1541.180000,7.4100E-003
1541.270000,7.3950E-003
1541.360000,7.3780E-003
1541.450000,7.3750E-003
1541.540000,7.3630E-003
1541.630000,7.3570E-003
1541.720000,7.3540E-003
1541.810000,7.3570E-003
1541.900000,7.3520E-003
1541.990000,7.3700E-003
1542.080000,7.3780E-003
1542.170000,7.3900E-003
1542.260000,7.3920E-003
1542.350000,7.4140E-003
1542.440000,7.4370E-003
1542.530000,7.4510E-003
1542.620000,7.4610E-003
1542.710000,7.4760E-003
1542.800000,7.4870E-003
1542.890000,7.5340E-003
1542.980000,7.5500E-003
1543.070000,7.5750E-003
1543.160000,7.5960E-003
1543.250000,7.6260E-003
1543.340000,7.6370E-003
1543.430000,7.6700E-003
1543.520000,7.6960E-003
1543.610000,7.7280E-003
1543.700000,7.7660E-003
1543.790000,7.7770E-003
1543.880000,7.8210E-003
1543.970000,7.8540E-003
1544.060000,7.8780E-003
1544.150000,7.9180E-003
1544.240000,7.9490E-003
1544.330000,7.9860E-003
1544.420000,8.0350E-003
1544.510000,8.0710E-003
1544.600000,8.0930E-003
1544.690000,8.1410E-003
1544.780000,8.1760E-003
1544.870000,8.2040E-003
1544.960000,8.2320E-003
1545.050000,8.2770E-003
1545.140000,8.3210E-003
1545.230000,8.3560E-003
1545.320000,8.3910E-003
1545.410000,8.4350E-003
1545.500000,8.4700E-003
1545.590000,8.5130E-003
1545.680000,8.5490E-003
1545.770000,8.5930E-003
1545.860000,8.6280E-003
1545.950000,8.6630E-003
1546.040000,8.7060E-003
1546.130000,8.7390E-003
1546.220000,8.7710E-003
1546.310000,8.8190E-003
1546.400000,8.8520E-003
1546.490000,8.8840E-003
1546.580000,8.9160E-003
1546.670000,8.9580E-003
1546.760000,8.9900E-003
1546.850000,9.0130E-003
1546.940000,9.0550E-003
1547.030000,9.0870E-003
1547.120000,9.1190E-003
1547.210000,9.1600E-003
1547.300000,9.1920E-003
1547.390000,9.2250E-003
1547.480000,9.2480E-003
1547.570000,9.2890E-003
1547.660000,9.3220E-003
1547.750000,9.3450E-003
1547.840000,9.3770E-003
1547.930000,9.4020E-003
1548.020000,9.4260E-003
1548.110000,9.4480E-003
1548.200000,9.4790E-003
1548.290000,9.4930E-003
1548.380000,9.5320E-003
1548.470000,9.5380E-003
1548.560000,9.5600E-003
1548.650000,9.5670E-003
1548.740000,9.5980E-003
1548.830000,9.6200E-003
1548.920000,9.6260E-003
1549.010000,9.6320E-003
1549.100000,9.6540E-003
1549.190000,9.6600E-003
1549.280000,9.6740E-003
1549.370000,9.6800E-003
1549.460000,9.6940E-003
1549.550000,9.6920E-003
1549.640000,9.6900E-003
1549.730000,9.6870E-003
1549.820000,9.6930E-003
1549.910000,9.6990E-003
1550.000000,9.6730E-003
1550.090000,9.6660E-003
1550.180000,9.6600E-003
1550.270000,9.6630E-003
1550.360000,9.6490E-003
1550.450000,9.6430E-003
1550.540000,9.6290E-003
1550.630000,9.6060E-003
1550.720000,9.6000E-003
1550.810000,9.5530E-003
1550.900000,9.5460E-003
1550.990000,9.5240E-003
1551.080000,9.5020E-003
1551.170000,9.4790E-003
1551.260000,9.4400E-003
1551.350000,9.4180E-003
1551.440000,9.3790E-003
1551.530000,9.3560E-003
1551.620000,9.3090E-003
1551.710000,9.2790E-003
1551.800000,9.2300E-003
1551.890000,9.2080E-003
1551.980000,9.1690E-003
1552.070000,9.1120E-003
1552.160000,9.0620E-003
1552.250000,9.0210E-003
1552.340000,8.9630E-003
1552.430000,8.9390E-003
1552.520000,8.8890E-003
1552.610000,8.8310E-003
1552.700000,8.7740E-003
1552.790000,8.7320E-003
1552.880000,8.6740E-003
1552.970000,8.6330E-003
1553.060000,8.5840E-003
1553.150000,8.5340E-003
1553.240000,8.4760E-003
1553.330000,8.4270E-003
1553.420000,8.3770E-003
1553.510000,8.3280E-003
1553.600000,8.2620E-003
1553.690000,8.2110E-003
1553.780000,8.1660E-003
1553.870000,8.1160E-003
1553.960000,8.0550E-003
1554.050000,7.9980E-003
1554.140000,7.9480E-003
1554.230000,7.9020E-003
1554.320000,7.8550E-003
1554.410000,7.7960E-003
1554.500000,7.7480E-003
1554.590000,7.7060E-003
1554.680000,7.6470E-003
1554.770000,7.5900E-003
1554.860000,7.5460E-003
1554.950000,7.5010E-003
1555.040000,7.4410E-003
1555.130000,7.3940E-003
1555.220000,7.3390E-003
1555.310000,7.2890E-003
1555.400000,7.2390E-003
1555.490000,7.1870E-003
1555.580000,7.1310E-003
1555.670000,7.0830E-003
1555.760000,7.0290E-003
1555.850000,6.9700E-003
1555.940000,6.9190E-003
1556.030000,6.8850E-003
1556.120000,6.8200E-003
1556.210000,6.7800E-003
1556.300000,6.7220E-003
1556.390000,6.6820E-003
1556.480000,6.6320E-003
1556.570000,6.5730E-003
1556.660000,6.5250E-003
1556.750000,6.4630E-003
1556.840000,6.4150E-003
1556.930000,6.3640E-003
1557.020000,6.3010E-003
1557.110000,6.2410E-003
1557.200000,6.1920E-003
1557.290000,6.1340E-003
1557.380000,6.0810E-003
