File,WaveData20240823_044.csv,
Date/Time,24-08-23/17:07,

Center Wavelength,1550,nm
Span Wavelength,100,nm
Start Wavelength,1500,nm
Stop Wavelength,1600,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.05,nm
Actual Resolution,0.054,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500,nm
Stop,1600,nm
1500.000000,1.9930E-006
1500.200000,6.0650E-007
1500.400000,-1.3590E-006
1500.600000,-6.7550E-007
1500.800000,1.0940E-006
1501.000000,-5.0430E-007
1501.200000,1.5990E-006
1501.400000,-3.0480E-007
1501.600000,-1.0540E-006
1501.800000,-1.7350E-006
1502.000000,-1.5350E-006
1502.200000,-3.0760E-007
1502.400000,1.8290E-006
1502.600000,4.9690E-007
1502.800000,2.7910E-007
1503.000000,-1.5330E-006
1503.200000,1.2280E-006
1503.400000,2.7210E-007
1503.600000,9.8510E-007
1503.800000,2.5300E-007
1504.000000,1.4480E-006
1504.200000,-5.0350E-007
1504.400000,-6.2560E-008
1504.600000,-2.1430E-006
1504.800000,4.3620E-007
1505.000000,1.3400E-007
1505.200000,-4.7910E-007
1505.400000,-7.8390E-007
1505.600000,1.9640E-006
1505.800000,2.3320E-007
1506.000000,6.5480E-007
1506.200000,5.6830E-007
1506.400000,1.5000E-007
1506.600000,8.6240E-007
1506.800000,-9.7010E-008
1507.000000,6.1430E-007
1507.200000,7.2840E-007
1507.400000,1.0540E-006
1507.600000,2.4360E-006
1507.800000,-8.8830E-007
1508.000000,-9.7910E-007
1508.200000,-9.2960E-007
1508.400000,7.8320E-007
1508.600000,1.5820E-006
1508.800000,6.1520E-007
1509.000000,3.3480E-007
1509.200000,6.6170E-008
1509.400000,-1.3290E-006
1509.600000,3.1600E-007
1509.800000,1.4240E-006
1510.000000,-1.4450E-006
1510.200000,1.4050E-006
1510.400000,3.3990E-007
1510.600000,5.3150E-007
1510.800000,1.3280E-006
1511.000000,1.4510E-006
1511.200000,5.3390E-007
1511.400000,5.5620E-007
1511.600000,1.0460E-006
1511.800000,1.1050E-006
1512.000000,6.0390E-007
1512.200000,-9.4970E-007
1512.400000,3.7790E-007
1512.600000,3.5470E-008
1512.800000,-3.5580E-007
1513.000000,-8.6370E-007
1513.200000,1.8020E-006
1513.400000,3.5810E-007
1513.600000,-1.5410E-007
1513.800000,9.3080E-007
1514.000000,1.6520E-007
1514.200000,2.5920E-006
1514.400000,1.1540E-006
1514.600000,6.0390E-007
1514.800000,2.9970E-008
1515.000000,-3.2980E-007
1515.200000,1.0170E-006
1515.400000,8.8010E-007
1515.600000,-4.0900E-007
1515.800000,1.8230E-006
1516.000000,4.1140E-008
1516.200000,-8.5880E-007
1516.400000,4.1950E-007
1516.600000,-1.3350E-007
1516.800000,4.9330E-007
1517.000000,8.3210E-007
1517.200000,-4.2790E-007
1517.400000,8.2940E-007
1517.600000,-5.9880E-007
1517.800000,4.8740E-007
1518.000000,-9.6880E-007
1518.200000,1.8840E-006
1518.400000,3.7740E-007
1518.600000,1.1450E-006
1518.800000,-7.3770E-007
1519.000000,-3.2530E-007
1519.200000,8.2880E-007
1519.400000,3.4000E-007
1519.600000,1.5890E-006
1519.800000,2.6640E-007
1520.000000,7.7410E-007
1520.200000,-3.2810E-007
1520.400000,-6.6200E-007
1520.600000,6.7640E-007
1520.800000,7.1680E-008
1521.000000,-6.2710E-008
1521.200000,-5.0170E-007
1521.400000,1.0680E-006
1521.600000,8.0500E-007
1521.800000,-5.0260E-007
1522.000000,1.4090E-006
1522.200000,1.0060E-006
1522.400000,-3.1340E-008
1522.600000,4.3650E-008
1522.800000,1.8910E-007
1523.000000,1.1010E-006
1523.200000,-8.8440E-008
1523.400000,-1.1990E-006
1523.600000,2.6630E-007
1523.800000,7.1540E-007
1524.000000,2.0480E-006
1524.200000,2.3170E-007
1524.400000,-1.2960E-006
1524.600000,1.1010E-006
1524.800000,1.2030E-006
1525.000000,7.0830E-007
1525.200000,5.7170E-007
1525.400000,5.4140E-007
1525.600000,6.9690E-007
1525.800000,-2.4650E-006
1526.000000,1.2430E-006
1526.200000,-9.9670E-007
1526.400000,-1.0920E-006
1526.600000,-2.8730E-007
1526.800000,6.8220E-008
1527.000000,1.7680E-006
1527.200000,-1.5650E-008
1527.400000,1.1680E-006
1527.600000,-8.9480E-009
1527.800000,2.1930E-006
1528.000000,5.7600E-007
1528.200000,-3.8010E-007
1528.400000,1.0390E-003
1528.600000,1.2280E-003
1528.800000,1.3790E-003
1529.000000,1.5270E-003
1529.200000,1.2360E-003
1529.400000,1.3990E-003
1529.600000,1.5680E-003
1529.800000,1.5980E-003
1530.000000,1.0920E-003
1530.200000,1.2200E-003
1530.400000,1.3510E-003
1530.600000,1.5490E-003
1530.800000,1.2690E-003
1531.000000,1.4150E-003
1531.200000,1.5170E-003
1531.400000,1.3860E-003
1531.600000,1.4340E-003
1531.800000,1.5010E-003
1532.000000,1.5380E-003
1532.200000,1.7150E-003
1532.400000,1.7710E-003
1532.600000,1.7810E-003
1532.800000,1.7400E-003
1533.000000,1.5220E-003
1533.200000,1.4070E-003
1533.400000,1.3040E-003
1533.600000,1.1920E-003
1533.800000,1.6360E-003
1534.000000,1.5470E-003
1534.200000,1.3580E-003
1534.400000,1.1540E-003
1534.600000,1.8840E-003
1534.800000,1.6590E-003
1535.000000,1.4050E-003
1535.200000,1.1870E-003
1535.400000,1.9100E-003
1535.600000,1.6490E-003
1535.800000,1.3920E-003
1536.000000,1.1730E-003
1536.200000,1.6340E-003
1536.400000,1.4010E-003
1536.600000,1.2040E-003
1536.800000,1.0530E-003
1537.000000,1.4920E-003
1537.200000,1.3250E-003
1537.400000,1.1430E-003
1537.600000,8.4000E-005
1537.800000,2.3290E-005
1538.000000,2.1270E-005
1538.200000,1.9460E-005
1538.400000,2.1160E-005
1538.600000,1.1770E-005
1538.800000,1.5510E-005
1539.000000,1.4550E-005
1539.200000,1.4350E-005
1539.400000,1.6150E-005
1539.600000,1.5140E-005
1539.800000,1.1140E-005
1540.000000,1.3230E-005
1540.200000,1.1770E-005
1540.400000,1.1570E-005
1540.600000,1.0880E-005
1540.800000,1.2010E-005
1541.000000,1.1100E-005
1541.200000,1.1240E-005
1541.400000,1.0900E-005
1541.600000,1.1330E-005
1541.800000,1.2390E-005
1542.000000,1.1770E-005
1542.200000,1.1180E-005
1542.400000,1.2390E-005
1542.600000,1.1060E-005
1542.800000,1.2660E-005
1543.000000,1.1890E-005
1543.200000,1.2540E-005
1543.400000,1.2510E-005
1543.600000,1.3980E-005
1543.800000,1.2000E-005
1544.000000,1.2410E-005
1544.200000,1.2020E-003
1544.400000,1.3350E-003
1544.600000,1.3530E-003
1544.800000,1.2920E-003
1545.000000,1.3910E-003
1545.200000,1.4070E-003
1545.400000,1.4170E-003
1545.600000,1.4410E-003
1545.800000,1.4630E-003
1546.000000,1.4850E-003
1546.200000,1.4980E-003
1546.400000,1.5090E-003
1546.600000,1.5370E-003
1546.800000,1.5540E-003
1547.000000,1.5640E-003
1547.200000,1.5790E-003
1547.400000,1.5970E-003
1547.600000,1.6140E-003
1547.800000,1.6320E-003
1548.000000,1.6430E-003
1548.200000,1.6540E-003
1548.400000,1.6700E-003
1548.600000,1.6890E-003
1548.800000,1.6870E-003
1549.000000,1.6920E-003
1549.200000,1.7020E-003
1549.400000,1.7230E-003
1549.600000,1.7140E-003
1549.800000,1.7210E-003
1550.000000,1.7210E-003
1550.200000,1.7310E-003
1550.400000,1.7250E-003
1550.600000,1.7140E-003
1550.800000,1.7110E-003
1551.000000,1.7100E-003
1551.200000,1.7130E-003
1551.400000,1.6890E-003
1551.600000,1.6830E-003
1551.800000,1.6800E-003
1552.000000,1.5360E-003
1552.200000,1.6580E-003
1552.400000,1.6300E-003
1552.600000,1.6130E-003
1552.800000,1.5910E-003
1553.000000,1.5780E-003
1553.200000,1.5490E-003
1553.400000,1.5360E-003
1553.600000,1.5170E-003
1553.800000,1.5080E-003
1554.000000,1.4860E-003
1554.200000,1.4620E-003
1554.400000,1.4430E-003
1554.600000,1.4250E-003
1554.800000,1.4000E-003
1555.000000,1.3780E-003
1555.200000,1.3620E-003
1555.400000,1.3420E-003
1555.600000,1.3220E-003
1555.800000,1.2980E-003
1556.000000,1.2810E-003
1556.200000,1.2650E-003
1556.400000,1.2480E-003
1556.600000,1.2150E-003
1556.800000,1.1980E-003
1557.000000,1.1850E-003
1557.200000,1.1590E-003
1557.400000,9.4580E-004
1557.600000,3.5340E-005
1557.800000,1.3240E-005
1558.000000,1.5140E-005
1558.200000,1.5270E-005
1558.400000,1.4020E-005
1558.600000,1.6320E-005
1558.800000,1.3480E-005
1559.000000,1.0770E-005
1559.200000,1.2960E-005
1559.400000,1.5620E-005
1559.600000,1.6640E-005
1559.800000,1.5030E-005
1560.000000,1.4830E-005
1560.200000,1.3240E-005
1560.400000,1.5890E-005
1560.600000,1.3270E-005
1560.800000,1.3150E-005
1561.000000,1.3620E-005
1561.200000,1.1220E-005
1561.400000,1.3520E-005
1561.600000,9.7650E-006
1561.800000,1.1170E-005
1562.000000,1.1250E-005
1562.200000,9.9350E-006
1562.400000,8.1450E-006
1562.600000,9.0940E-006
1562.800000,1.0800E-005
1563.000000,8.3950E-006
1563.200000,1.0380E-005
1563.400000,9.5640E-006
1563.600000,8.2470E-006
1563.800000,8.9720E-006
1564.000000,5.6930E-006
