File,WaveData20240911_011.csv,
Date/Time,24-09-11/18:36,

Trace,A
Center Wavelength,1550,nm
Span Wavelength,35,nm
Start Wavelength,1532.5,nm
Stop Wavelength,1567.5,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.068,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1532.5,nm
Stop,1567.5,nm

Wavelength(A),Level(A)
1532.500000,2.5390E-006
1532.570000,2.9320E-006
1532.640000,1.0910E-006
1532.710000,3.9680E-006
1532.780000,1.3970E-006
1532.850000,1.8590E-006
1532.920000,7.7230E-007
1532.990000,3.9680E-007
1533.060000,1.0240E-006
1533.130000,1.5700E-006
1533.200000,1.6380E-006
1533.270000,2.0920E-006
1533.340000,2.4480E-006
1533.410000,1.4730E-006
1533.480000,2.5010E-006
1533.550000,1.0590E-006
1533.620000,1.7700E-006
1533.690000,4.3810E-007
1533.760000,2.1190E-006
1533.830000,9.7580E-007
1533.900000,-2.8590E-008
1533.970000,9.1850E-007
1534.040000,2.4000E-006
1534.110000,2.3870E-006
1534.180000,-5.8430E-007
1534.250000,3.7870E-006
1534.320000,1.2110E-006
1534.390000,1.5120E-006
1534.460000,7.6030E-005
1534.530000,5.4940E-004
1534.600000,6.5560E-004
1534.670000,6.2610E-004
1534.740000,5.8910E-004
1534.810000,5.6100E-004
1534.880000,5.2520E-004
1534.950000,4.8850E-004
1535.020000,4.7300E-004
1535.090000,4.4200E-004
1535.160000,4.0400E-004
1535.230000,3.5380E-004
1535.300000,2.3560E-004
1535.370000,1.6700E-004
1535.440000,1.5120E-004
1535.510000,1.4750E-004
1535.580000,1.3240E-004
1535.650000,1.2950E-004
1535.720000,1.1860E-004
1535.790000,1.1290E-004
1535.860000,1.0810E-004
1535.930000,1.0310E-004
1536.000000,1.1040E-004
1536.070000,2.9450E-004
1536.140000,5.3770E-004
1536.210000,5.3910E-004
1536.280000,5.0510E-004
1536.350000,4.7890E-004
1536.420000,4.5280E-004
1536.490000,4.2620E-004
1536.560000,4.0490E-004
1536.630000,3.8290E-004
1536.700000,3.6450E-004
1536.770000,3.3640E-004
1536.840000,2.1750E-004
1536.910000,7.9910E-005
1536.980000,4.4630E-005
1537.050000,4.3290E-005
1537.120000,4.2500E-005
1537.190000,4.2170E-005
1537.260000,4.0090E-005
1537.330000,3.4020E-005
1537.400000,3.6940E-005
1537.470000,3.1530E-005
1537.540000,3.2490E-005
1537.610000,6.8890E-005
1537.680000,3.4460E-004
1537.750000,4.7000E-004
1537.820000,4.6620E-004
1537.890000,4.5480E-004
1537.960000,4.3430E-004
1538.030000,4.2580E-004
1538.100000,4.1280E-004
1538.170000,4.0620E-004
1538.240000,3.8540E-004
1538.310000,3.7420E-004
1538.380000,3.2730E-004
1538.450000,1.1470E-004
1538.520000,3.1530E-005
1538.590000,2.4010E-005
1538.660000,1.9380E-005
1538.730000,2.1260E-005
1538.800000,2.0700E-005
1538.870000,2.1660E-005
1538.940000,2.1690E-005
1539.010000,1.9350E-005
1539.080000,2.2050E-005
1539.150000,2.2290E-005
1539.220000,9.2020E-005
1539.290000,2.6200E-004
1539.360000,2.8860E-004
1539.430000,2.8420E-004
1539.500000,2.8060E-004
1539.570000,2.7320E-004
1539.640000,2.7200E-004
1539.710000,2.6920E-004
1539.780000,2.6550E-004
1539.850000,2.6410E-004
1539.920000,2.5880E-004
1539.990000,1.6830E-004
1540.060000,4.6390E-005
1540.130000,1.9480E-005
1540.200000,1.6360E-005
1540.270000,1.8450E-005
1540.340000,1.6170E-005
1540.410000,1.8840E-005
1540.480000,1.6220E-005
1540.550000,1.4480E-005
1540.620000,1.7030E-005
1540.690000,1.4590E-005
1540.760000,3.1960E-005
1540.830000,1.9680E-004
1540.900000,3.0220E-004
1540.970000,3.1170E-004
1541.040000,3.0940E-004
1541.110000,3.1130E-004
1541.180000,3.0980E-004
1541.250000,3.1050E-004
1541.320000,3.1360E-004
1541.390000,3.0770E-004
1541.460000,3.1000E-004
1541.530000,2.8990E-004
1541.600000,1.2700E-004
1541.670000,3.1880E-005
1541.740000,1.8390E-005
1541.810000,1.7830E-005
1541.880000,1.4140E-005
1541.950000,1.7480E-005
1542.020000,1.7110E-005
1542.090000,1.9500E-005
1542.160000,1.7930E-005
1542.230000,1.3730E-005
1542.300000,1.9120E-005
1542.370000,6.4220E-005
1542.440000,3.1640E-004
1542.510000,4.0140E-004
1542.580000,4.0650E-004
1542.650000,4.0330E-004
1542.720000,4.0570E-004
1542.790000,4.0850E-004
1542.860000,4.0870E-004
1542.930000,4.0520E-004
1543.000000,4.0810E-004
1543.070000,4.0930E-004
1543.140000,3.3880E-004
1543.210000,1.2640E-004
1543.280000,2.1870E-005
1543.350000,1.7160E-005
1543.420000,1.6960E-005
1543.490000,1.5460E-005
1543.560000,1.6900E-005
1543.630000,1.6250E-005
1543.700000,1.7180E-005
1543.770000,1.8720E-005
1543.840000,1.7930E-005
1543.910000,2.5140E-005
1543.980000,1.1440E-004
1544.050000,3.1870E-004
1544.120000,3.4630E-004
1544.190000,3.4960E-004
1544.260000,3.5140E-004
1544.330000,3.5630E-004
1544.400000,3.5770E-004
1544.470000,3.5710E-004
1544.540000,3.5580E-004
1544.610000,3.5900E-004
1544.680000,3.6100E-004
1544.750000,2.4360E-004
1544.820000,6.0420E-005
1544.890000,1.6390E-005
1544.960000,1.8630E-005
1545.030000,1.9570E-005
1545.100000,2.0050E-005
1545.170000,1.8710E-005
1545.240000,2.0270E-005
1545.310000,1.9720E-005
1545.380000,2.2210E-005
1545.450000,2.1750E-005
1545.520000,3.8350E-005
1545.590000,2.2460E-004
1545.660000,3.8060E-004
1545.730000,3.9280E-004
1545.800000,3.9590E-004
1545.870000,3.9890E-004
1545.940000,3.9660E-004
1546.010000,3.9800E-004
1546.080000,4.0150E-004
1546.150000,3.9910E-004
1546.220000,4.0420E-004
1546.290000,3.9310E-004
1546.360000,2.0720E-004
1546.430000,4.7320E-005
1546.500000,2.3160E-005
1546.570000,2.2070E-005
1546.640000,1.8070E-005
1546.710000,2.0370E-005
1546.780000,1.8530E-005
1546.850000,1.8200E-005
1546.920000,2.1930E-005
1546.990000,2.1230E-005
1547.060000,2.5180E-005
1547.130000,5.2650E-005
1547.200000,2.9360E-004
1547.270000,4.2220E-004
1547.340000,4.2630E-004
1547.410000,4.3290E-004
1547.480000,4.3070E-004
1547.550000,4.2960E-004
1547.620000,4.2920E-004
1547.690000,4.2890E-004
1547.760000,4.3400E-004
1547.830000,4.3250E-004
1547.900000,4.0100E-004
1547.970000,1.7280E-004
1548.040000,3.8810E-005
1548.110000,2.3230E-005
1548.180000,2.0440E-005
1548.250000,2.3770E-005
1548.320000,2.0190E-005
1548.390000,2.1610E-005
1548.460000,2.5540E-005
1548.530000,2.3730E-005
1548.600000,2.1350E-005
1548.670000,2.2660E-005
1548.740000,7.5760E-005
1548.810000,3.5940E-004
1548.880000,4.4660E-004
1548.950000,4.6080E-004
1549.020000,4.5830E-004
1549.090000,4.5410E-004
1549.160000,4.5460E-004
1549.230000,4.5540E-004
1549.300000,4.6020E-004
1549.370000,4.5780E-004
1549.440000,4.5970E-004
1549.510000,3.9620E-004
1549.580000,1.3560E-004
1549.650000,3.3180E-005
1549.720000,2.3150E-005
1549.790000,2.4190E-005
1549.860000,2.2750E-005
1549.930000,2.3750E-005
1550.000000,2.4870E-005
1550.070000,2.4050E-005
1550.140000,2.3540E-005
1550.210000,2.6680E-005
1550.280000,2.6650E-005
1550.350000,9.5900E-005
1550.420000,3.8260E-004
1550.490000,4.6020E-004
1550.560000,4.5980E-004
1550.630000,4.5640E-004
1550.700000,4.5630E-004
1550.770000,4.5860E-004
1550.840000,4.6250E-004
1550.910000,4.5380E-004
1550.980000,4.5440E-004
1551.050000,4.5260E-004
1551.120000,3.9060E-004
1551.190000,1.2620E-004
1551.260000,3.0200E-005
1551.330000,2.3060E-005
1551.400000,2.3900E-005
1551.470000,2.3720E-005
1551.540000,2.3290E-005
1551.610000,2.3920E-005
1551.680000,2.2820E-005
1551.750000,2.1540E-005
1551.820000,2.1850E-005
1551.890000,2.4130E-005
1551.960000,9.5570E-005
1552.030000,3.5610E-004
1552.100000,4.3650E-004
1552.170000,4.3180E-004
1552.240000,4.2800E-004
1552.310000,4.2560E-004
1552.380000,4.3400E-004
1552.450000,4.2360E-004
1552.520000,4.2370E-004
1552.590000,4.2580E-004
1552.660000,4.2480E-004
1552.730000,3.4970E-004
1552.800000,1.0310E-004
1552.870000,2.7490E-005
1552.940000,1.9340E-005
1553.010000,2.0560E-005
1553.080000,1.9590E-005
1553.150000,1.9580E-005
1553.220000,2.0580E-005
1553.290000,2.1110E-005
1553.360000,2.1050E-005
1553.430000,2.1470E-005
1553.500000,2.5200E-005
1553.570000,1.0190E-004
1553.640000,3.5070E-004
1553.710000,3.9390E-004
1553.780000,3.9010E-004
1553.850000,3.8410E-004
1553.920000,3.9010E-004
1553.990000,3.8690E-004
1554.060000,3.8630E-004
1554.130000,3.8880E-004
1554.200000,3.8260E-004
1554.270000,3.7910E-004
1554.340000,3.2150E-004
1554.410000,1.2340E-004
1554.480000,2.5500E-005
1554.550000,1.7380E-005
1554.620000,1.8950E-005
1554.690000,1.8670E-005
1554.760000,1.3970E-005
1554.830000,1.6170E-005
1554.900000,1.6440E-005
1554.970000,1.8030E-005
1555.040000,1.8480E-005
1555.110000,2.1170E-005
1555.180000,7.8680E-005
1555.250000,3.0010E-004
1555.320000,3.4870E-004
1555.390000,3.5190E-004
1555.460000,3.5340E-004
1555.530000,3.4910E-004
1555.600000,3.4240E-004
1555.670000,3.4280E-004
1555.740000,3.3900E-004
1555.810000,3.4350E-004
1555.880000,3.3620E-004
1555.950000,2.8910E-004
1556.020000,1.1700E-004
1556.090000,2.2280E-005
1556.160000,1.5490E-005
1556.230000,1.8060E-005
1556.300000,1.7200E-005
1556.370000,1.6200E-005
1556.440000,1.6390E-005
1556.510000,1.6350E-005
1556.580000,1.7450E-005
1556.650000,1.4660E-005
1556.720000,1.6360E-005
1556.790000,6.0990E-005
1556.860000,2.5710E-004
1556.930000,3.0250E-004
1557.000000,3.0880E-004
1557.070000,3.0470E-004
1557.140000,3.0670E-004
1557.210000,3.0030E-004
1557.280000,3.0110E-004
1557.350000,2.9500E-004
1557.420000,2.9540E-004
1557.490000,2.8770E-004
1557.560000,2.5430E-004
1557.630000,1.1360E-004
1557.700000,2.0690E-005
1557.770000,1.3840E-005
1557.840000,1.5490E-005
1557.910000,1.8350E-005
1557.980000,1.5270E-005
1558.050000,1.6640E-005
1558.120000,1.0740E-005
1558.190000,1.4020E-005
1558.260000,1.4190E-005
1558.330000,1.3540E-005
1558.400000,5.0470E-005
1558.470000,2.5380E-004
1558.540000,3.2140E-004
1558.610000,3.2260E-004
1558.680000,3.2290E-004
1558.750000,3.1320E-004
1558.820000,3.1680E-004
1558.890000,3.0880E-004
1558.960000,3.1090E-004
1559.030000,3.0520E-004
1559.100000,2.9690E-004
1559.170000,2.8360E-004
1559.240000,1.2050E-004
1559.310000,1.9500E-005
1559.380000,1.3730E-005
1559.450000,1.1640E-005
1559.520000,1.2820E-005
1559.590000,1.3290E-005
1559.660000,1.0340E-005
1559.730000,1.0410E-005
1559.800000,1.0540E-005
1559.870000,1.1000E-005
1559.940000,1.2030E-005
1560.010000,2.8570E-005
1560.080000,2.0710E-004
1560.150000,3.0470E-004
1560.220000,3.1190E-004
1560.290000,3.0170E-004
1560.360000,2.9490E-004
1560.430000,2.9490E-004
1560.500000,2.8980E-004
1560.570000,2.8660E-004
1560.640000,2.7860E-004
1560.710000,2.7570E-004
1560.780000,2.6030E-004
1560.850000,1.3570E-004
1560.920000,2.8370E-005
1560.990000,1.2040E-005
1561.060000,9.9480E-006
1561.130000,8.8310E-006
1561.200000,8.0190E-006
1561.270000,7.6220E-006
1561.340000,7.7220E-006
1561.410000,8.0290E-006
1561.480000,9.4560E-006
1561.550000,8.1730E-006
1561.620000,1.2360E-005
1561.690000,1.8120E-004
1561.760000,3.4110E-004
1561.830000,3.4770E-004
1561.900000,3.3990E-004
1561.970000,3.3050E-004
1562.040000,3.2710E-004
1562.110000,3.1890E-004
1562.180000,3.1610E-004
1562.250000,3.1060E-004
1562.320000,3.0340E-004
1562.390000,2.9520E-004
1562.460000,1.9170E-004
1562.530000,4.3050E-005
1562.600000,1.3160E-005
1562.670000,8.2260E-006
1562.740000,7.2490E-006
1562.810000,6.4850E-006
1562.880000,7.8480E-006
1562.950000,3.8210E-006
1563.020000,5.6970E-006
1563.090000,6.0770E-006
1563.160000,5.0160E-006
1563.230000,7.6740E-006
1563.300000,9.0810E-005
1563.370000,3.2810E-004
