File,WaveData20240906_002.csv,
Date/Time,24-09-06/19:09,

Trace,A
Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.1,nm
Actual Resolution,0.099,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1525,nm
Stop,1575,nm

Wavelength(A),Level(A)
1525.000000,5.2500E-007
1525.100000,8.9970E-007
1525.200000,-1.0700E-006
1525.300000,-1.1260E-007
1525.400000,-4.6710E-007
1525.500000,2.9850E-007
1525.600000,-1.8580E-007
1525.700000,-3.1210E-006
1525.800000,-1.1520E-006
1525.900000,-1.5210E-007
1526.000000,-9.6390E-007
1526.100000,2.6950E-007
1526.200000,3.2160E-007
1526.300000,-5.0740E-007
1526.400000,1.8280E-008
1526.500000,-1.7390E-006
1526.600000,9.7490E-007
1526.700000,3.6000E-007
1526.800000,-1.7690E-006
1526.900000,2.6400E-006
1527.000000,-6.2390E-007
1527.100000,-2.8690E-007
1527.200000,-9.1990E-007
1527.300000,8.4150E-007
1527.400000,4.8140E-008
1527.500000,2.3100E-008
1527.600000,1.3720E-006
1527.700000,-1.1940E-007
1527.800000,-2.0590E-007
1527.900000,-3.1000E-007
1528.000000,-1.4840E-006
1528.100000,-1.2780E-006
1528.200000,1.2830E-006
1528.300000,-8.5570E-007
1528.400000,3.7150E-007
1528.500000,-2.2130E-007
1528.600000,-1.5360E-006
1528.700000,-2.9930E-007
1528.800000,-9.9070E-008
1528.900000,9.8120E-008
1529.000000,7.4470E-007
1529.100000,-4.3290E-008
1529.200000,-1.1500E-006
1529.300000,-1.2500E-007
1529.400000,2.0000E-007
1529.500000,-5.7720E-009
1529.600000,-1.1180E-006
1529.700000,-2.9430E-007
1529.800000,-9.2400E-007
1529.900000,-2.2400E-007
1530.000000,8.7230E-007
1530.100000,-6.6910E-007
1530.200000,1.0230E-006
1530.300000,-3.7000E-007
1530.400000,-9.5610E-007
1530.500000,1.7850E-006
1530.600000,-9.3450E-007
1530.700000,4.6020E-007
1530.800000,-2.7090E-007
1530.900000,3.0840E-007
1531.000000,-6.9170E-007
1531.100000,1.5830E-006
1531.200000,-5.9650E-007
1531.300000,-7.3860E-007
1531.400000,1.6860E-006
1531.500000,-7.3950E-007
1531.600000,-2.1310E-007
1531.700000,4.0040E-007
1531.800000,1.4300E-007
1531.900000,9.6110E-007
1532.000000,-4.6080E-007
1532.100000,2.2360E-007
1532.200000,2.7940E-007
1532.300000,-1.7710E-006
1532.400000,1.6020E-006
1532.500000,-2.8330E-007
1532.600000,-7.3590E-007
1532.700000,-7.7060E-007
1532.800000,-9.5330E-007
1532.900000,-2.2860E-007
1533.000000,-7.4200E-007
1533.100000,5.1130E-007
1533.200000,-2.0850E-007
1533.300000,1.5080E-006
1533.400000,-3.0770E-008
1533.500000,-8.2530E-007
1533.600000,-5.6750E-007
1533.700000,2.0380E-006
1533.800000,2.9440E-007
1533.900000,-9.4170E-007
1534.000000,5.4760E-007
1534.100000,5.7160E-007
1534.200000,1.6640E-007
1534.300000,4.8310E-007
1534.400000,2.0730E-006
1534.500000,4.6470E-004
1534.600000,1.0120E-003
1534.700000,9.8250E-004
1534.800000,9.0440E-004
1534.900000,8.3540E-004
1535.000000,7.7100E-004
1535.100000,7.0250E-004
1535.200000,6.2760E-004
1535.300000,4.1010E-004
1535.400000,2.5930E-004
1535.500000,2.2960E-004
1535.600000,2.1930E-004
1535.700000,1.9550E-004
1535.800000,1.7350E-004
1535.900000,1.6390E-004
1536.000000,1.7490E-004
1536.100000,5.6480E-004
1536.200000,8.0630E-004
1536.300000,7.4750E-004
1536.400000,6.8350E-004
1536.500000,6.4420E-004
1536.600000,5.9300E-004
1536.700000,5.4590E-004
1536.800000,4.6000E-004
1536.900000,1.5810E-004
1537.000000,7.1100E-005
1537.100000,6.5810E-005
1537.200000,6.2050E-005
1537.300000,5.7070E-005
1537.400000,5.2320E-005
1537.500000,5.4430E-005
1537.600000,8.1420E-005
1537.700000,5.5050E-004
1537.800000,7.1150E-004
1537.900000,6.8630E-004
1538.000000,6.5520E-004
1538.100000,6.2650E-004
1538.200000,6.0170E-004
1538.300000,5.7800E-004
1538.400000,4.3630E-004
1538.500000,1.1280E-004
1538.600000,3.1110E-005
1538.700000,3.1700E-005
1538.800000,3.1100E-005
1538.900000,2.9040E-005
1539.000000,2.7400E-005
1539.100000,2.7100E-005
1539.200000,7.1970E-005
1539.300000,3.8180E-004
1539.400000,4.2740E-004
1539.500000,4.2470E-004
1539.600000,4.1450E-004
1539.700000,4.0500E-004
1539.800000,4.0290E-004
1539.900000,3.9110E-004
1540.000000,2.4510E-004
1540.100000,4.7130E-005
1540.200000,2.3740E-005
1540.300000,2.4500E-005
1540.400000,2.3510E-005
1540.500000,2.3230E-005
1540.600000,2.3970E-005
1540.700000,2.3120E-005
1540.800000,1.1920E-004
1540.900000,4.4210E-004
1541.000000,4.7090E-004
1541.100000,4.7610E-004
1541.200000,4.7220E-004
1541.300000,4.6760E-004
1541.400000,4.6620E-004
1541.500000,4.6170E-004
1541.600000,2.3080E-004
