Wavelength(A),Level(A)
1528.675928357448,9.715090396012345e-13
1528.7246479905664,1e-12
1528.7733707292198,1.029223784208462e-12
1528.822096573705,1.2678374950649772e-11
1528.8708255243196,1.3045240579776042e-11
1528.9195575813599,1.4585357752659348e-07
1528.968292745123,1.5000450498375023e-07
1529.0170310159065,7.44507379537803e-08
1529.065772394007,7.657500237109005e-08
1529.114516879722,1e-12
1529.1632644733486,1.027672496934402e-12
1529.2120151751842,1e-12
1529.2607689855256,1.0282529157621774e-12
1529.3095259046709,3.1989020362104945e-12
1529.3582859329167,3.2848100267937262e-12
1529.4070490705608,8.45929047992835e-08
1529.4558153179007,8.702502572865026e-08
1529.5045846752334,1e-12
1529.5533571428573,1.026805191752458e-12
1529.6021327210688,1e-12
1529.6509114101664,1.0253062050428794e-12
1529.6996932104475,1e-12
1529.7484781222095,1.0255472087341282e-12
1529.7972661457502,1e-12
1529.8460572813676,1.0253974522703341e-12
1529.8948515293591,1e-12
1529.943648890023,1.0244038738084776e-12
1529.9924493636568,3.105524090636061e-07
1530.0412529505584,3.1786847662977916e-07
1530.0900596510255,3.894826883600765e-12
1530.1388694653565,3.985106568448526e-12
1530.1876823938496,1.8605667028903385e-07
1530.2364984368023,1.902532380315424e-07
1530.2853175945127,7.626848355514484e-12
1530.3341398672792,7.791974546927921e-12
1530.3829652553998,1e-12
1530.431793759173,1.0202573041017568e-12
1530.4806253788965,1.097667517168174e-07
1530.5294601148692,1.1199626198986584e-07
1530.5782979673888,2.2733335324070893e-11
1530.6271389367541,2.3168200943793217e-11
1530.6759830232631,2.0088409819945372e-08
1530.7248302272149,2.045671594653533e-08
1530.7736805489071,3.0930342014136614e-11
1530.8225339886385,3.1470245879185246e-11
1530.871390546708,8.294343060982097e-09
1530.9202502234139,8.431211503443661e-09
1530.9691130190545,4.9584412299007896e-11
1531.0179789339293,5.0365594000906996e-11
1531.066847968336,1.3941733475244416e-08
1531.115720122574,1.4141980308065973e-08
1531.1645953969419,1.5660622120453718e-10
1531.2134737917386,1.586864052710635e-10
1531.2623553072626,1e-12
1531.311239943813,1.0121085554822881e-12
1531.3601277016887,5.548349777397505e-09
1531.4090185811888,5.609405109511817e-09
1531.4579125826122,4.174691904019203e-10
1531.506809706258,4.212243040435042e-10
1531.555709952425,1e-12
1531.6046133214127,1.0086607691957046e-12
1531.6535198135198,9.966332505594792e-10
1531.7024294290459,1.0030118165862476e-09
1531.75134216829,2.3599681769795247e-07
1531.8002580315513,2.373330326301293e-07
1531.8491770191295,3.64969183814295e-07
1531.8980991313235,3.6657422392907423e-07
1531.947024368433,1.4767675779603697e-09
1531.995952730757,1.4807972605667414e-09
1532.0448842185954,2.518575633629381e-10
1532.0938188322473,2.522360277111927e-10
1532.1427565720126,2.459474341793765e-07
1532.1916974381907,2.4586447290733293e-07
1532.2406414310815,1.7088986336731167e-09
1532.289588550984,1.70551666144027e-09
1532.3385387981982,2.462057982350571e-10
1532.3874921730242,2.45294503574046e-10
1532.4364486757613,8.771046257104876e-09
1532.4854083067094,8.721858434636848e-09
1532.5343710661682,1e-12
1532.583336954438,9.93067624748632e-13
1532.6323059718184,1e-12
1532.6812781186095,9.905888105229588e-13
1532.730253395111,1e-12
1532.7792318016234,9.89378818040479e-13
1532.8282133384464,1e-12
1532.8771980058802,9.872718278599963e-13
1532.926185804225,1e-12
1532.9751767337807,9.85386825376233e-13
1533.024170794848,2.398283769856087e-11
1533.073167987727,2.361666995860067e-11
1533.1221683127178,2.773923261382027e-08
1533.1711717701207,2.7252462882313153e-08
1533.2201783602366,1.7650824100176502e-11
1533.2691880833652,1.7309015474774306e-11
1533.3182009398076,1.1319161043030736e-07
1533.3672169298638,1.1077280276017559e-07
1533.4162360538346,1e-12
1533.4652583120205,9.768206947220253e-13
1533.514283704722,1e-12
1533.56331223224,9.748866373892032e-13
1533.6123438948748,6.0096066596082145e-12
1533.6613786929274,5.846382698523488e-12
1533.7104166266986,1.6659871812359086e-06
1533.759457696489,1.6178488308729199e-06
1533.8085019025996,1.0091281032349973e-07
1533.8575492453313,9.800031368129506e-08
1533.9065997249847,2.391915693188147e-12
1533.9556533418613,2.314827962849951e-12
1534.0047100962615,5.4870753928193e-07
1534.0537699884865,5.303637577099677e-07
1534.1028330188376,5.519605113167417e-07
1534.1518991876158,5.336373690978697e-07
1534.2009684951222,1.681266725182917e-07
1534.250040941658,1.6206439458814438e-07
1534.2991165275246,4.785726237540073e-07
1534.3481952530228,4.611390882154201e-07
1534.3972771184542,1.9923997250305117e-06
1534.4463621241202,1.917302437471911e-06
1534.4954502703222,0.00036327423043730354
1534.5445415573613,0.0003488845152368343
1534.5936359855393,0.0009630990563573947
1534.6427335551575,0.0009247426190747882
1534.6918342665174,0.0009848761620311753
1534.7409381199207,0.0009445162441290631
1534.7900451156688,0.0009118876104002605
1534.8391552540636,0.000874094486820274
1534.888268535407,0.0008432136235340912
1534.93738496,0.0008082410259036285
1534.986504528145,0.0007793920077006867
1535.0356272401434,0.0007461844289343763
1535.0847530962972,0.0007125362516386726
1535.1338820969083,0.0006820735524624319
1535.1830142422787,0.0006397337875440511
1535.2321495327103,0.0006129395395132997
1535.281287968505,0.0004440853984177156
1535.3304295499647,0.0004255270065117014
1535.3795742773918,0.00028475110567049565
1535.4287221510883,0.00027238674216497363
1535.4778731713564,0.0002358636605977437
1535.5270273384979,0.00022598352109092846
1535.5761846528158,0.00022171014670393238
1535.6253451146113,0.00021230682282689958
1535.6745087241875,0.0002013094762003341
1535.7236754818468,0.00019272397467262178
1535.772845387891,0.00017921639611391652
1535.822018442623,0.0001717546213985824
1535.871194646345,0.00016660938384913907
1535.9203739993595,0.0001596395163706113
1535.9695565019695,0.00017147540096442175
1536.0187421544767,0.00016441819784371816
1536.0679309571844,0.0003878259339070172
1536.1171229103952,0.00037179782469738714
1536.1663180144114,0.0007151973457977413
1536.2155162695362,0.0006861341060283309
1536.264717676072,0.0007677387543295239
1536.313922234322,0.0007376162129493724
1536.3631299445885,0.000706431909241693
1536.4123408071748,0.0006790949730589381
1536.4615548223837,0.0006590336311519395
1536.5107719905182,0.0006340451564372996
1536.5599923118814,0.0006129757695089236
1536.609215786776,0.0005901683910029343
1536.6584424155053,0.0005650007009646882
1536.7076721983724,0.0005446794909888141
1536.7569051356807,0.000495222016977578
1536.806141227733,0.00047804685150368287
1536.8553804748326,0.0002546134571613912
1536.904622877283,0.0002460251539220637
1536.9538684353872,0.00010279434984859506
1537.0031171494488,9.939873430241464e-05
1537.0523690197713,6.8278620531479e-05
1537.101624046658,6.616915010189804e-05
1537.1508822304118,6.386913171877899e-05
1537.2001435713369,6.194704001375908e-05
1537.2494080697368,5.9537323877625636e-05
1537.298675725915,5.779136236961778e-05
1537.3479465401751,5.474092979487817e-05
1537.3972205128207,5.3174133248027564e-05
1537.4464976441552,5.329076285367093e-05
1537.495777934483,5.1880197014364795e-05
1537.5450613841074,6.52604779888182e-05
1537.5943479933326,6.355730282055727e-05
